idTelephone;telModele;telOS;telVersionOs;telPrixSortie;telPrixActuel;telChipsetRef;telChipsetGhz;telNbCoeur;telRam;telTailleEcran;telResolution;telAutonomie;telMemoire;fkMarque
1;TA-1357;Android;11;110;110;Unisoc SC9863A;1.6;8;3;6.82;720x1600;6000;64;1
2;C1 2nd Edition;Android;11;54;50;Unisoc SC7731e;1;4;1;5.45;720x1440;2500;16;1
3;TA-1388;Android;11;300;200;Unisoc SC9863A;1.6;8;3;6.5;720x1600;4950;32;1
4;TA-1334;Android;11;149;129;MediaTek Helio G25;2;8;4;6.52;720x1600;5050;64;1
5;8 V 5G UW;Android;10;649;299;765G 5G;2.4;8;6;6.81;1080x2400;4500;64;1
6;TA-1341;Android;11;350;320;Snapdragon 480 5G;2;8;8;6.61;1080x2400;4470;128;1
7;JAD-AL50;HarmonyOS;2.0;1510;1250;Kirin 9000;3.13;8;12;6.6;1228x2700;4360;512;2
8;M2012K10C;Android;11;500;360;Dimensity 1200 5G;3;8;12;6.67;1080x2400;5065;256;3
9;SHARK PRS-H0;Android;11;800;700;Snapdragon 870 5G;3.2;8;12;6.67;1080x2400;4500;256;3
10;Galaxy S20+;Android;10;1100;500;Exynos 990;2.5;8;8;6.7;1440x3200;4500;128;4
11;Galaxy A51;Android;10;700;299;Exynos 9611;2.3;8;8;6.5;1080x2400;4000;128;4
12;Galaxy Note10;Android;9;959;350;Exynos 9825;2.73;8;8;6.3;1080x2280;3500;256;4
13;Galaxy Fold;Android;9;1899;1000;Snapdragon 855;2.84;8;12;7.3;1536x2152;4380;512;4
14;Galaxy A71;Android;10;1000;399;Snapdragon 730;2.2;8;8;6.7;1080x2400;4500;128;4
15;Galaxy S10;Android;9;909;400;Snapdragon 855;2.73;8;8;6.1;1440x3040;3400;128;4
16;Galaxy Note10+;Android;9;1109;500;Snapdragon 855;2.73;8;12;6.8;1440x3040;4300;256;4
17;Galaxy A20s;Android;9;700;250;Snapdragon 450;1.8;8;4;6.5;720x1560;4000;64;4
18;Blade V30;Android;11;217;200;Unisoc Tiger T618;2;8;4;6.67;1080x2400;5000;128;5
19;nubia Z20;Android;9;450;719;Snapdragon 855+;2.96;8;8;6.42;1080x2340;4000;128;5
20;S62 Pro;Android;10;670;500;Snapdragon 660;2.2;8;6;5.7;1080x2160;4000;128;6
21;Iphone XR;iOs;12;610;430;A12 bionic;2.5;6;3;6.1;828x1792;2942;128;7
22;Iphone XS;iOs;12;1329;730;A12 bionic;2.5;6;4;5.8;1125x2436;2658;256;7
23;Iphone XS Max;iOs;12;1429;840;A12 bionic;2.5;6;4;6.5;1242x2688;3174;256;7
24;Iphone 11;iOs;13;650;650;A13 bionic;2.65;6;4;6.1;828x1792;3110;128;7
25;Iphonne 11 Pro;iOs;13;1329;800;A13 bionic;2.65;6;4;5.8;1125x2436;3046;256;7
26;Iphone 11 Pro Max;iOs;13;1429;1250;A13 bionic;2.65;6;4;6.5;1242x2688;3969;256;7
27;Iphone 12;iOs;14.1;1130;800;A14 bionic;3.1;6;4;6.1;1170x2532;2815;128;7
28;Iphone 12 Pro max;iOs;14.1;1230;1045;A14 bionic;3.1;6;6;6.7;1284x2778;3687;128;7
29;Nord 2;Android;11;430;430;Dimensity 1200;3;8;12;6.43;1080x2400;4500;128;8
30;ROG Phone 5 Utlimate;Android;11;1600;1200;Snapdragon 888;2.84;8;18;6.78;1080x2448;6000;512;9
